Pressure Zone,MNF,Industrial Usage,Reliability
P_WAHROONGA_RED_1,11.1061444265489,0.041499706,1
P_WAHROONGA_RED_5,18.0285558001168,0.001796121,1
P_WAHROONGA_RED_2,26.8770362342305,0.128611319,1
P_WAHROONGA_RED_6,4.69450241693015,0.058115786,1
P_PYMBLE_RED_6,11.3095062213048,0.077430251,1
P_PYMBLE_RED_5,24.2329961799966,0.101478042,1
P_CHATSWOOD_RED_2,12.0680276179326,0.111779405,0
P_MOBBS_HILL_RED_3,10.1166911993916,0.132903836,1
P_HERMITAGE_RED_1,18.330276050658,0.167589449,1
P_HERMITAGE_RED_7,9.53570189112228,0.060643555,0
P_HERMITAGE_RED_5,39.4858484310605,0.137460308,1
P_CHATSWOOD_RED_8,4.06553556126821,0.007634995,1
P_ASHFIELD_REM,77.3409691811274,0.152030604,0
P_HERMITAGE_RED_2,20.4438731790916,0.067136404,1
P_ASHFIELD_RED_3,13.89353041988,0.061789688,1
P_DUNDAS,7.43196192950683,0.113791612,1
P_MOBBS_HILL_RED_2,16.2643436794184,0.039421727,1
P_MOBBS_HILL_RED_4,7.05103454349011,0.095171369,0
P_HERMITAGE_RED_3,12.9481561937349,0.132676926,1
P_BANTRY_RED_2,16.1359077304236,0.040194238,1
P_BANTRY_RED_3,73.0293466364631,0.028521827,1
P_BELROSE_RED_2,13.9017137960582,0.100753111,1
P_FRENCHS_FOREST_RED_1,7.22495800529083,0.050940475,1
P_BELROSE_RED_1,7.62887956608447,0.041988418,1
P_BELROSE_RED_3,6.95874915036968,0.007525096,1
P_FRENCHS_FOREST_REM,0.0,0.103701257,0
P_PYMBLE_DMA_1,8.36260452678543,0.016236695,1
P_BANTRY_RED_4,8.2470021396795,0.004931494,1
P_PYMBLE_RED_4,12.9873331193299,0.045337521,1
P_NEWPORT_RED_5,12.1491771306065,0.113786056,1
P_WARRINGAH_RED_2,7.90178709697402,0.032015128,1
P_WARRINGAH_RED_1,6.7682854029612,0.050073968,1
P_BANTRY_REM,46.0264753139886,0.133445788,1
P_BANTRY_RED_6,2.57220002205876,0.090570141,0
P_VAUCLUSE,19.2601169780719,0.174442601,1
P_CHATSWOOD_RED_7,19.2983547107631,0.049280651,1
P_KILLARA_RED_1,26.6732531708032,0.168217879,1
P_BANTRY_RED_1,16.994794565323,0.011566083,1
P_BANTRY_RED_5,8.71972742835793,0.17651869,1
P_PETERSHAM_EL_RED_1,8.85360291796328,0.122295056,1
P_CHATSWOOD_RED_6,21.8877378047547,0.152614967,1
P_MAROUBRA,20.648147104907,0.194228743,1
P_WAVERLEY,28.3497718923185,0.198383198,1
P_WAVERLEY_EL_REM,12.8553299180353,0.187322907,1
P_RANDWICK,-50.9740853442031,0.149046059,0
P_WILEY_PARK_EL_RED_1,23.709608358775,0.18623572,1
P_SUTHERLAND_RED_6,9.63586211274063,0.104593954,1
P_WILEY_PARK_EL_REM,22.3716788475327,0.135895708,1
P_PENSHURST_EL_REM,0.976948083900359,0.122023632,1
P_ROCKDALE_GRAV_REM,27.5680725037511,0.159316294,1
P_ASHFIELD_RED_1,10.1205125859778,0.138627813,1
P_ASHFIELD_RED_4,17.2084460232742,0.090688201,0
P_ROCKDALE_GRAV_DMA_1,11.3899804341934,0.09717813,1
P_PENSHURST_EL_DMA_1,9.37970350440215,0.089256962,1
P_EAST_HILLS_BOOST_3,6.19614730830744,0.051295021,1
P_SUTHERLAND_RED_8,5.70147896675105,0.017840308,1
P_SUTHERLAND_RED_13,8.98780770616127,0.130013455,1
P_SUTHERLAND_DMA_1,6.88688617071843,0.004047924,1
P_SUTHERLAND_RED_7,4.88783019699943,0.00796165,1
P_MAIANBAR_RED_1,5.33732397115727,0.126285564,0
P_ENGADINE_RED_2,3.4524524496432,0.000684095,0
P_ENGADINE_REM,-16.0020572950747,0.063069772,0
P_ENGADINE_RED_1,4.43233324313354,0.029550572,1
P_LOFTUS_RED_1,9.61356267409706,0.043614656,1
P_SUTHERLAND_RED_9,5.37762556585304,0.04800434,1
P_SUTHERLAND_RED_17,16.4098566993711,0.125191614,1
P_SUTHERLAND_BOOST_2,5.94780296964334,0.048846248,1
P_SUTHERLAND_RED_1,9.53408916133851,0.096946482,1
P_SUTHERLAND_RED_2,9.23574365078571,0.032158003,1
P_SUTHERLAND_RED_16,11.20031834906,0.026063117,1
P_SUTHERLAND_RED_18,10.2416704035708,0.022666399,1
P_SUTHERLAND_RED_15,7.3973886525662,0.022870922,1
P_CAMPBELLTOWN_SOUTH_EL,7.87644302160341,0.057037583,1
P_CAMDEN_PARK,5.81628316967985,0.095023957,0
P_ROSEMEADOW_EL,3.16334373385139,0.05551774,0
P_NARELLAN_SOUTH_RED_7,8.35324915016431,0.106553269,0
P_NARELLAN_SOUTH_RED_1,7.76290069564789,0.027131753,0
P_NARELLAN_SOUTH_RED_3,5.43649690821927,0.003158322,1
P_NARELLAN_SOUTH_RED_4,5.0353470437018,0.011237035,1
P_KENTLYN_EL,-1.21581355207751,0.058701198,0
P_CAMPBELLTOWN_SOUTH_RED_1,9.42843752933727,0.02451263,0
P_STANWELL_PARK_RED_2,-2.08370050299711,0.140515476,1
P_THIRROUL_LOWER,9.56414682562152,0.136205808,1
P_COLEDALE_HEIGHTS,12.8185531784503,7.71e-05,1
P_STANWELL_PARK_REM,-2.03451782060901,0.069478652,0
P_STANWELL_PARK_RED_1,2.98589210152033,0.129022758,1
P_SCARBOROUGH_RED_1,10.8686642294592,0.147558103,1
P_SCARBOROUGH_REM,0.00918105031215584,0.130387808,1
P_COLEDALE,6.44002652005579,0.057805358,0
P_BERKELEY_RED_4,6.42833967390335,0.075595085,1
P_BERKELEY_RED_1,0.707663708614041,0.131110223,0
P_FARMBOROUGH,5.11994530229549,0.030405929,0
P_MT_KEMBLA,-155.532741444023,0.083034107,0
P_CORRIMAL_RED_2,5.8681514825047,0.115933138,1
P_CORRIMAL_REM,4.75110715081912,0.165973914,1
P_BULLI_RED_2,3.89294656439248,0.014528746,1
P_WOONONA_HEIGHTS,-5.63483986595526,0.007768238,0
P_BULLI_RED_3,4.95012392129524,0.056509945,1
P_BULLI_REM,10.3491813985812,0.19046148,1
