Pressure Zone,MNF,Industrial Usage
P_NEPEAN,45.73018285179282,0.671956836
P_SUTHERLAND_RED_4,28.304329473950162,0.718597184
P_CECIL_PARK_RED_1,88.98729009363065,0.65871168
P_LEPPINGTON_EL,65.5253877378234,0.605852316
P_BOTANY_GRAV,84.51573047755241,0.604991268
P_MARSFIELD,348.3132952861062,0.720673543
P_CROWN_STREET,0.3189686862109675,0.68566168
P_SUTHERLAND_RED_10,25.942614559996485,0.612889743
P_NARELLAN_SOUTH_RED_6,4.09073598019613,0.711457589
P_WONGAWILLI_REM,-28.008060581460647,0.645820216
P_BERKELEY_REM,2.7011816252575045,0.740120369
P_DAPTO_REM,0.0,0.733380218
P_SADDLEBACK,-211.67523564695804,0.728498772
P_GERRINGONG_REM,-2465.4661168237635,0.62872711
